id;title;authors;date;description
9312210;'Generalized Kazakov-Migdal-Kontsevich Model: group theory aspects';'S.Kharchev, A.Marshakov, A.Mironov, A.Morozov';'Fri, 31 Dec 93 17:09 MSK   (34kb)';'   The Kazakov-Migdal model, if considered as a functional of external fields, can be always represented as an expansion over characters of $GL$ group. The integration over "matter fields" can be interpreted as going over the {\it model} (the space of all highest weight representations) of $GL$. In the case of compact unitary groups the integrals should be substituted by {\it discrete} sums over weight lattice. The $D=0$ version of the model is the Generalized Kontsevich integral, which in the above-mentioned unitary (discrete) situation coincides with partition function of the $2d$ Yang-Mills theory with the target space of genus $g=0$ and $m=0,1,2$ holes. This particular quantity is always a bilinear combination of characters and appears to be a Toda-lattice $\tau$-function. (This is generalization of the classical statement that individual $GL$ characters are always singular KP $\tau$-functions.) The corresponding element of the Universal Grassmannian is very simple and somewhat similar to the one, arising in investigations of the $c=1$ string models. However, under certain circumstances the formal sum over representations should be evaluated by steepest descent method and this procedure leads to some more complicated elements of Grassmannian. This "Kontsevich phase" as opposed to the simple "character phase" deserves further investigation. '
9312212;'$2d$ gravity and matrix models. I. $2d$ gravity';'A.Mironov';'Fri, 31 Dec 93 17:34 MSK   (45kb)';'   Some approaches to $2d$ gravity developed for the last years are reviewed. They are physical (Liouville) gravity, topological theories and matrix models. A special attention is paid to matrix models and their interrelations with different approaches. Almost all technical details are omitted, but examples are presented. '
9312213;'On a c-number quantum $\tau$-function';'A. Mironov, A. Morozov, L. Vinet';'Fri, 31 Dec 93 17:43 MSK   (16kb)';'   We first review the properties of the conventional $\tau$-functions of the KP and Toda-lattice hierarchies. A straightforward generalization is then discussed. It corresponds to passing from differential to finite-difference equations; it does not involve however the concept of operator-valued $\tau$-function nor the one associated with non-Cartanian (level $k\ne1$) algebras. The present study could be useful to understand better $q$-free fields and their relation to ordinary free fields. '
9312214;'The representations of Temperley-Lieb-Jones algebras';'R. K. Kaul';'Fri, 31 Dec 1993 14:59:22 +0530 (GMT+5:30)   (16kb)';'   Representations of braid group obtained from rational conformal field theories can be used to obtain explicit representations of Temperley-Lieb-Jones algebras. The method is described in detail for SU(2)$_k$ Wess - Zumino conformal field theories and its generalization to an arbitrary rational conformal field theory outlined. Explicit definition of an associated linear trace operation in terms of a certain matrix element in the space of conformal blocks of such a conformal theory is presented. Further for every primary field of a rational conformal field theory, there is a subfactor of hyperfinite II$_1$ factor with trivial relative commutant. The index of the subfactor is given in terms of identity - identity element of certain duality matrix for conformal blocks of four-point correlators. Jones formula for index ( $<$ 4 ) for subfactors corresponds to spin ${\frac{1}{2}}$ representation of SU(2)$_k$ Wess-Zumino conformal field theory. Definition of the trace operation also provides a method of obtaining link invariants explicitly. '
9312215;'Knot invariants from rational conformal field theories';'P. Ramadevi, T.R. Govindarajan and R.K. Kaul';'Sun, 2 Jan 94 17:19:46+050    (13kb)';'   A framework for studying knot and link invariants from any rational conformal field theory is developed. In particular, minimal models, superconformal models and $W_N$ models are studied. The invariants are related to the invariants obtained from the Wess-Zumino models associated with the coset representations of these models. Possible Chern-Simons representation of these models is also indicated. This generalises the earlier work on knot and link invariants from Chern-Simons theories. '
9405201;'Fusion $U_q(G^{(1)}_2)$ vertex models and analytic Bethe ans{\"a}tze';'Junji Suzuki';'Wed, 1 Jun 94 11:42:21 JST   (10kb)';'   We introduce fusion $U_q(G^{(1)}_2)$ vertex models related to fundamental representations. The eigenvalues of their row to row transfer matrices are derived through analytic Bethe ans{\"a}tze. By combining these results with our previous studies on functional relations among transfer matrices(the $T$-system), we conjecture explicit eigenvalues for a wide class of fusion models. These results can be neatly expressed in terms of a Yangian analogue of the Young tableaux. '
9406201;'Finite Black Hole Entropy and String Theory';'Michael McGuigan';'Wed, 29 Jun 1994 18:32:44 -0400   (12kb)';'   An accelerating observer sees a thermal bath of radiation at the Hawking temperature which is proportional to the acceleration. Also, in string theory there is a Hagedorn temperature beyond which one cannot go without an infinite amount of energy. Several authors have shown that in the context of Hawking radiation a limiting temperature for string theory leads to a limiting acceleration, which for a black hole implies a minimum distance from the horizon for an observer to remain stationary. We argue that this effectively introduces a cutoff in Rindler space or the Schwarzschild geometry inside of which accelerations would exceed this maximum value. Furthermore, this natural cutoff in turn allows one to define a finite entropy for Rindler space or a black hole as all divergences were occurring on the horizon. In all cases if a particular relationship exists between Newton's constant and the string tension then the entropy of the string modes agrees with the Bekenstein-Hawking formula. '
9406202;'Quantization of the Gravitational Constant in Odd-Dimensional Gravity';'J.Zanelli';'Tue, 28 Jun 94 15:24:33 CST   (6kb)';'   It is pointed out that the action recently proposed by Ba\~nados et al. for gravitation in odd dimensions higher (and lower) than four, provides a natural quantization for the gravitational constant. These theories possess no dimensionful parameters and hence they may be power counting renormalizable. '
9406203;'Coset Realization of Unifying W-Algebras';'R. Blumenhagen, W. Eholzer, A. Honecker, K. Hornfeck, R. Huebel';'Thu, 30 Jun 94 09:16:49 +0200   (65kb)';'   We construct several quantum coset W-algebras, e.g. sl(2,R)/U(1) and sl(2,R)+sl(2,R) / sl(2,R), and argue that they are finitely nonfreely generated. Furthermore, we discuss in detail their role as unifying W-algebras of Casimir W-algebras. We show that it is possible to give coset realizations of various types of unifying W-algebras, e.g. the diagonal cosets based on the symplectic Lie algebras sp(2n) realize the unifying W-algebras which have previously been introduced as `WD_{-n}'. In addition, minimal models of WD_{-n} are studied. The coset realizations provide a generalization of level-rank-duality of dual coset pairs. As further examples of finitely nonfreely generated quantum W-algebras we discuss orbifolding of W-algebras which on the quantum level has different properties than in the classical case. We demonstrate in some examples that the classical limit according to Bowcock and Watts of these nonfreely finitely generated quantum W-algebras probably yields infinitely nonfreely generated classical W-algebras. '
9406204;'Topics in Quantum Dynamics';'A. Jadczyk';'Thu, 30 Jun 94 11:14:56 +0200   (33kb)';'   The paper consists of two parts. In the first part Schroedinger's equation for a charged quantum particle in a Galilei-Newton curved space-time is derived in a fully geometrical way. Gravitational and electromagnetic fields are coded into space metric and space-time connection. The fundamental geometrical object is a quantum connection in a Hermitian line bundle over the 7-dimensional jet space of 3-velocities. The secondary object is the bundle of Hilbert spaces over absolute time. Time appears as a superselection quantity while Shroedinger equation is interpreted as parallel transport in this bundle. In the second part the problem of measurement in quantum theory is discussed as a part of a more general problem of coupling between quantum and classical systems. The standard framework of quantum theory is extended so as to allow for dynamical central observables within dissipative dynamics. It is shown that within this approach one obtains not only Liouville equation that describes statistical ensembles, but also a piecewise-deterministic random process describing sequences of "events" that can be monitored by a continuous observation of the single, coupled classical system. It also describes "quantum jumps" or "wave packet reductions" that accompany these events. Two example are worked out in some details. The last one deals with the problem oof "how to determine the wave function ?". '
9406205;'Bicovariant differential calculus on quantum groups from Poisson Lie';'I. Ya. Aref'eva, G. E. Arutyunov and P. B. Medvedev';'Thu, 30 Jun 94 14:41:56 +0300 (MSD)   (13kb)';'   The aim of this lecture is to give a pedagogical explanation of the notion of a Poisson Lie structure on the external algebra of a Poisson Lie group which was introduced in our previous papers. Using this notion as a guide we construct quantum external algebras on $SL_q(N)$ with proper (classical) dimension. '
9406206;'A Canonical Approach to Duality Transformations';'E. Alvarez, L. Alvarez-Gaume and Y. Lozano';'Thu, 30 Jun 94 15:12:11 +0100   (11kb)';'   We show that Buscher's abelian duality transformation rules can be recovered in a very simple way by performing a canonical transformation first suggested by Giveon, Rabinovici and Veneziano. We explore the properties of this transformation, and also discuss some aspects of non-abelian duality. '
9406207;'String Field Theory in the Temporal Gauge';'M. Ikehara, N. Ishibashi, H. kawai, T. Mogami, R. Nakayama and N.';'Thu, 30 Jun 1994 23:17:28 +0900   (29kb)';'   We construct the string field Hamiltonian for $c=1-\frac{6}{m(m+1)}$ string theory in the temporal gauge. In order to do so, we first examine the Schwinger-Dyson equations of the matrix chain models and propose the continuum version of them. Results of boundary conformal field theory are useful in making a connection between the discrete and continuum pictures. The $W$ constraints are derived from the continuum Schwinger-Dyson equations. We also check that these equations are consistent with other known results about noncritical string theory. The string field Hamiltonian is easily obtained from the continuum Schwinger-Dyson equations. It looks similar to Kaku-Kikkawa's Hamiltonian and may readily be generalized to $c>1$ cases. '
9406208;'"Topological" Formulation of Effective Vortex Strings';'Masatoshi Sato and Shigeaki Yahikozawa';'Fri, 01 Jul 94 00:50:39 +0900   (31kb)';'   We present a ``topological'' formulation of arbitrarily shaped vortex strings in four dimensional field theory. By using a large Higgs mass expansion, we then evaluate the effective action of the closed Abrikosov-Nielsen-Olesen vortex string. It is shown that the effective action contains the Nambu-Goto term and an extrinsic curvature squared term with negative sign. We next evaluate the topological $\FtF$ term and find that it becomes the sum of an ordinary self-intersection number and Polyakov's self-intersection number of the world sheet swept by the vortex string. These self-intersection numbers are related to the self-linking number and the total twist number, respectively. Furthermore, the $\FtF$ term turns out to be the difference between the sum of the writhing numbers and the linking numbers of the vortex strings at the initial time and the one at the final time. When the vortex string is coupled to fermions, the chiral fermion number of the vortex string becomes the writhing number (modulo $\bZ$) through the chiral anomaly. Our formulation is also applied to ``global'' vortex strings in a model with a broken global $U(1)$ symmetry. '
9406209;'Remarks on Thermal Strings outside Black Holes';'J.L.F. Barbon';'Thu, 30 Jun 94 12:11:31 -0400   (14kb)';'   We discuss the semiclassical approximation to the level density of (super) strings propagating in non-compact coset manifolds $G/H$. We show that the WKB ansatz agrees with heuristic red-shift arguments with respect to the ``exact" sigma model metric, up to some deviations from minimal coupling, parametrized by the dilaton. This approximation is used to study thermal ensembles of free strings in black holes, with the ``brick wall" regularization of `t Hooft. In two dimensions the entropy diverges logarithmically with the horizon thickness, and a local Hagedorn transition occurs in higher dimensional models. We also observe that supersymmetry improves the regularity of strings at the horizon. '
9406210;'Entropy for dilatonic black hole';'A. Ghosh and P. Mitra (Saha Institute of Nuclear Physics)';'Thu, 30 Jun 94 11:05 GMT   (6kb)';'   The area formula for entropy is extended to the case of a dilatonic black hole. The entropy of a scalar field in the background of such a black hole is calculated semiclassically. The area and cutoff dependences are normal {\it except in the extremal case}, where the area is zero but the entropy nonzero. '
9406211;'Representation theory and tensor product theory for vertex operator';'Hai-sheng Li';'Thu, 30 Jun 94 22:10:13 EDT   (64kb)';'   We first formulate a definition of tensor product for two modules for a vertex operator algebra in terms of a certain universal property and then we give a construction of tensor products. We prove the unital property of the adjoint module and the commutativity of tensor products, up to module isomorphism. We relate this tensor product construction with Frenkel and Zhu's $A(M)$-theory. We give a proof of a formula of Frenkel and Zhu for fusion rules. We also give the analogue of the ``Hom''-functor of classical Lie algebra theory for vertex operator algebra theory by introducing a notion of ``generalized intertwining operator.'' We prove that the space of generalized intertwining operators from one module to another for a vertex operator algebra is a generalized module. From this result we derive a general form of Tsuchiya and Kanie's ``nuclear democracy theorem'' for any rational vertex operator algebra. This proves that the fusion rules obtained from our construction of tensor products are the same as the fusion rules obtained by using Tsuchiya and Kanie's method, for both WZW models and minimal models. We prove that if $V$ satisfies certain ``finiteness'' and ``semisimplicity'' conditions, then there exists a unique maximal submodule inside the generalized module. Furthermore, we prove that this maximal submodule is isomorphic to the contragredient module of a certain tensor product module. This gives another construction of tensor product modules and this result turns out to be closely related to Huang and Lepowsky's construction. '
9406212;'Perturbative Renormalizations of Anyon Quantum Mechanics';'G. Amelino-Camelia';'Thu, 30 Jun 1994 13:28:16 -0400   (18kb)';'   In bosonic end perturbative calculations for quantum mechanical anyon systems a regularization and renormalization procedure, analogous to those used in field theory, is necessary. I examine the reliability and the physical interpretation of the most commonly used bosonic end regularization procedures. I then use the regularization procedure with the most transparent physical interpretation to derive some bosonic end perturbation theory results on anyon spectra, including a 3-anyon ground state energy. '
9406213;'Schroedinger Self-adjoint Extension and Quantum Field Theory';'G. Amelino-Camelia and D. Bak';'Thu, 30 Jun 1994 13:30:35 -0400   (15kb)';'   We argue that the results obtained using the quantum mechanical method of self-adjoint extension of the Schr\"odinger Hamiltonian can also be derived using Feynman perturbation theory in the investigation of the corresponding non-relativistic field theories. We show that this is indeed what happens in the study of an anyon system, and, in doing so, we establish a field theoretical description for ``colliding anyons", {\it i.e.} anyons whose quantum mechanical wave functions satisfy the non-conventional boundary conditions obtained with the method of self-adjoint extension. We also show that analogous results hold for a system of non-abelian Chern-Simons particles. '
9406214;'The Supersymmetric Two Boson Hierarchies';'J. C. Brunelli and A. Das';'Thu, 30 Jun 1994 13:56:06 -0500 (EST)   (6kb)';'   We construct the most general supersymmetric two boson system that is integrable. We obtain the Lax operator and the nonstandard Lax representation for this system. We show that, under appropriate redefinition of variables, this reduces to the supersymmetric nonlinear Schr\"odinger equation without any arbitrary parameter which is known to be integrable. We show that this supersymmetric system has three local Hamiltonian structures just like the bosonic counterpart and we show how the supersymmetric KdV equation can be embedded into this system. '
9406215;'Quantum integrability of nonultralocal models through Baxterisation of';'Ladislav Hlavaty and Anjan Kundu';'Thu, 30 Jun 1994 20:50:39 MEZ ( +0100)   (17kb)';'   A scheme suitable for describing quantum nonultralocal models including supersymmetric ones is proposed. Braided algebras are generalised to be used through Baxterisation for constructing braided quantum Yang--Baxter equations.   Supersymmetric and some known nonultralocal models are derived in the framework of the present approach. '
9406216;'Low energy effective string cosmology';'E. J. Copeland, Amitabha Lahiri and David Wands';'Thu, 30 Jun 1994 19:49:38 +0100 (BST)   (35kb)';'   We give the general analytic solutions derived from the low energy string effective action for four dimensional Friedmann-Robertson-Walker models with dilaton and antisymmetric tensor field, considering both long and short wavelength modes of the $H$-field. The presence of a homogeneous $H$-field significantly modifies the evolution of the scale factor and dilaton. In particular it places a lower bound on the allowed value of the dilaton. The scale factor also has a lower bound but our solutions remain singular as they all contain regions where the spacetime curvature diverges signalling a breakdown in the validity of the effective action. We extend our results to the simplest Bianchi I metric in higher dimensions with only two scale factors. We again give the general analytic solutions for long and short wavelength modes for the $H$ field restricted to the three dimensional space, which produces an anisotropic expansion. In the case of $H$ field radiation (wavelengths within the Hubble length) we obtain the usual four dimensional radiation dominated FRW model as the unique late time attractor. '
9406217;'Matter couplings in partially broken extended supersymmetry';'J. Bagger and A. Galperin';'Thu, 30 Jun 94 14:58:46 -0500   (10kb)';'   We use nonlinear realizations to describe the spontaneous breaking of $N=2$ supersymmetry to $N=1$ in four dimensions. We identify the Goldstone multiplet with an $N=1$ chiral superfield, and show that chiral $N=1$ matter is consistent with the partially broken $N=2$ supersymmetry. We find that the chiral matter can be in any representation of the gauge group; no mirror particles are required. We present the Goldstone action and the general couplings to $N=1$ matter to the first nontrivial order in the scale of symmetry breaking. '
9410201;'Linear Connections in Non-Commutative Geometry';'J. Mourad';'Wed, 26 Oct 1994 19:50:59 GMT   (10kb)';'   A construction is proposed for linear connections on non-commutative algebras. The construction relies on a generalisation of the Leibnitz rules of commutative geometry and uses the bimodule structure of $\Omega^1$. A special role is played by the extension to the framework of non-commutative geometry of the permutation of two copies of $\Omega^1$. The construction of the linear connection as well as the definition of torsion and curvature is first proposed in the setting of the derivations based differential calculus of Dubois- Violette and then a generalisation to the framework proposed by Connes as well as other non-commutative differential calculi is suggested. The covariant derivative obtained admits an extension to the tensor product of several copies of $\Omega^1$. These constructions are illustrated with the example of the algebra of $ n \times n$ matrices. '
9410202;'Octonion X-product orbits';'Geoffrey Dixon';'Wed, 26 Oct 1994 15:27 EDT   (9kb)';'   The octonionic X-product gives the octonions a flexibility not found in the other real division algebras. The pattern of that flexibility is investigated here. '
9410203;'Regular Conjugacy Classes in the Weyl Group and Integrable Hierarchies';'F. Delduc and L. Feher';'Thu, 27 Oct 94 14:02:58 +0100   (45kb)';'   Generalized KdV hierarchies associated by Drinfeld-Sokolov reduction to grade one regular semisimple elements from non-equivalent Heisenberg subalgebras of a loop algebra $\G\otimes{\bf C}[\lambda,\lambda^{-1}]$ are studied. The graded Heisenberg subalgebras containing such elements are labelled by the regular conjugacy classes in the Weyl group ${\bf W}(\G)$ of the simple Lie algebra $\G$. A representative $w\in {\bf W}(\G)$ of a regular conjugacy class can be lifted to an inner automorphism of $\G$ given by $\hat w=\exp\left(2i\pi {\rm ad I_0}/m\right)$, where $I_0$ is the defining vector of an $sl_2$ subalgebra of $\G$.The grading is then defined by the operator $d_{m,I_0}=m\lambda {d\over d\lambda} + {\rm ad} I_0$ and any grade one regular element $\Lambda$ from the Heisenberg subalgebra associated to $[w]$ takes the form $\Lambda = (C_+ +\lambda C_-)$, where $[I_0, C_-]=-(m-1) C_-$ and $C_+$ is included in an $sl_2$ subalgebra containing $I_0$. The largest eigenvalue of ${\rm ad}I_0$ is $(m-1)$ except for some cases in $F_4$, $E_{6,7,8}$. We explain how these Lie algebraic results follow from known results and apply them to construct integrable systems.If the largest ${\rm ad} I_0$ eigenvalue is $(m-1)$, then using any grade one regular element from the Heisenberg subalgebra associated to $[w]$ we can construct a KdV system possessing the standard $\W$-algebra defined by $I_0$ as its second Poisson bracket algebra. For $\G$ a classical Lie algebra, we derive pseudo-differential Lax operators for those non-principal KdV systems that can be obtained as discrete reductions of KdV systems related to $gl_n$. Non-abelian Toda systems are also considered. '
9410204;'Functional determinants and effective actions:Corrigenda';'J.S.Dowker and J.S.Apps';'Thu, 27 Oct 1994 09:51:44 +0100   (5kb)';'   Some calculational errors in expressions derived previously by the first author for the effective action, or equivalently for the functional determinant, on sectors of a spherical cap are corrected. The formula for the change in the effective action under Weyl rescalings in the three dimensional case is also amended. '
9410205;'S-Dual Gaugino Condensation and Supersymmetry Breaking';'Z. Lalak, A. Niemeyer and H.P. Nilles';'Thu, 27 Oct 1994 12:15:54 +0100   (12kb)';'   The principle of S-duality is used to incorporate gaugino condensates into effective supergravity (superstring) Lagrangians. We discuss two implementations of S-duality which differ in the way the coupling constant is transformed. Both solve the problem of the runaway dilaton and lead to satisfactory supersymmetry breaking in models with a {\em single} gaugino condensate. The breakdown of supersymmetry is intimately related to a nontrivial transformation of the condensate under T-duality. '
9410206;'String GUTs';'G. Aldazabal, A. Font, L.E. Ibanez and A.M. Uranga';'Thu, 27 Oct 94 15:21:56 HOE   (42kb)';'   Standard SUSY-GUTs such as those based on $SU(5)$ or $SO(10)$ lead to predictions for the values of $\alpha _s$ and $sin^2\theta _W$ in amazing agreement with experiment. In this article we investigate how these models may be obtained from string theory, thus bringing them into the only known consistent framework for quantum gravity. String models with matter in standard GUT representations require the realization of affine Lie algebras at higher levels. We start by describing some methods to build level $k=2$ orbifold string models with gauge groups $SU(5)$ or $SO(10)$. We present several examples and identify generic features of the type of models constructed. Chiral fields appropriate to break the symmetry down to the standard model generically appear in the massless spectrum. However, unlike in standard SUSY-GUTs, they often behave as string moduli, i.e., they do not have self-couplings. We also discuss briefly the doublet-triplet Higgs splitting. We find that, in some models, built-in sliding-singlet type of couplings exist. '
9410207;'Diff invariant Poincare transformations as deformation of Poincare';'M.Pitk\"anen';'Thu, 27 Oct 1994 17:17:59 +0200 (EET)   (5kb)';'   The concept of $Diff^4$ invariant Poincare transformations is a cornerstone of T(opological) G(eometro)D(ynamics). This concept makes it possible to understand the concept of subjective time and irreversibelity as well as nontriviality of S-matrix at quantum level. In this paper the possibility of identifying $Diff^4$ invariant Poincare transformations as the recently discovered Lorentz invariant deformation of Poincare algebra with the basic property that 'new' energy is some function of 'old' energy, is considered. '
9410208;'On spectral theory of quantum vertex operators';'Pavel Etingof';'Thu, 27 Oct 94 11:29:01 EDT   (12kb)';'   In this note we prove the Davies-Foda-Jimbo-Miwa-Nakayashiki conjecture on the asymptotics of the composition of n quantum vertex operators for the quantum affine algebra U_q(\hat sl_2), as n goes to infinity. For this purpose we define and study the leading eigenvalue and eigenvector of the product of two components of the quantum vertex operator. This eigenvector and the corresponding eigenvalue were recently computed by M.Jimbo. The results of his computation are given in Section 4. '
9410209;'On Structure Constants of $sl(2)$ Theories';'V. B. Petkova and J.-B. Zuber';'27 Oct 94 16:37:45+0100   (30kb)';'   Structure constants of minimal conformal theories are reconsidered. It is shown that {\it ratios} of structure constants of spin zero fields of a non-diagonal theory over the same evaluated in the diagonal theory are given by a simple expression in terms of the components of the eigenvectors of the adjacency matrix of the corresponding Dynkin diagram. This is proved by inspection, which leads us to carefully determine the {\it signs} of the structure constants that had not all appeared in the former works on the subject. We also present a proof relying on the consideration of lattice correlation functions and speculate on the extension of these identities to more complicated theories. '
9410210;'Classical/Quantum Duality';'M. J. Duff';'Thu, 27 Oct 94 16:16:25 GMT   (4kb)';'   String theory requires two kinds of loop expansion: classical $(\alpha')$ worldsheet loops with expansion parameter $<T>$ where $T$ is a modulus field, and quantum $(\hbar)$ spacetime loops with expansion parameter $<S>$ where $S$ is the dilaton field. Four-dimensional string/string duality (a corollary of ten-dimensional string/fivebrane duality) interchanges the roles of $S$ and $T$ and hence interchanges classical and quantum. '
9410212;'Curved Four-Dimensional Spacetime as Infrared Regulator in Superstring';'E. Kiritsis, C. Kounnas';'Thu, 27 Oct 94 20:00:19 +0100   (17kb)';'   We construct a new class of exact and stable superstring solutions in which our four-dimensional spacetime is taken to be curved . We derive in this space the full one-loop partition function in the presence of non-zero $\langle F^a_{\mu\nu}F_a^{\mu\nu}\rangle=F^2$ gauge background as well as in an $\langle R_{\mu\nu\rho\sigma}R^{\mu\nu\rho\sigma}\rangle=\R^2$ gravitational background and we show that the non-zero curvature, $Q^2=2/(k+2)$, of the spacetime provides an infrared regulator for all $\langle[F^a_{\mu\nu}]^n[R_{\mu\nu\rho\sigma}]^m\rangle$ correlation functions. The string one-loop partition function $Z(F,\R, Q)$ can be exactly computed, and it is IR and UV finite. For $Q$ small we have thus obtained an IR regularization, consistent with spacetime supersymmetry (when $F=0,\R=0$) and modular invariance. Thus, it can be used to determine, without any infrared ambiguities, the one-loop string radiative corrections on gravitational, gauge or Yukawa couplings necessary for the string superunification predictions at low energies. (To appear in the Proceedings of the Trieste Spring 94 Workshop) '
